5,9,4
2,10,6
11,7,10
5,2,12
5,5,14
6,1,16
6,-2,18
7,6,21
1,1,23
5,2,24
5,-1,26
6,7,29
0,2,31
0,8,32
-4,-2,33
-4,-2,33
